,Unnamed: 0,name,url,food_details,rating,review_number,longitude,latitude,price,food_category,weighted_rating,rating_group,price_category,rest_details
0,0,Wakaka eco kepong,https://foodpanda.my/restaurant/l9cb/wakaka-eco-kepong,"['Beverages', 'Desserts', 'Fast Food']",4.5,563,101.6252646,3.2216035,2,Beverages,4.49,4.30-4.49,Moderate,"Beverages, Desserts, Fast Food"
1,1,Tomyam bukit intan baiduri,https://foodpanda.my/restaurant/d0ef/tomyam-bukit-intan-baiduri,"['Noodles', 'Rice Dishes', 'Asian']",4.4,790,101.6494359,3.2328798,2,Mamak,4.41,4.30-4.49,Moderate,"Noodles, Rice Dishes, Asian"
2,2,Efoodmarket,https://foodpanda.my/restaurant/s2cq/efoodmarket,['Asian'],4.1,55,101.6189861,3.2195578,3,Chinese,4.33,4.30-4.49,Expensive,Asian
3,3,Mayana corner seafood,https://foodpanda.my/restaurant/h7iy/mayana-corner-seafood,"['Noodles', 'Thai', 'Beverages', 'Chicken', 'Rice Dishes']",4.6,82,101.6342359,3.2205364,2,Malay,4.52,4.50-4.69,Moderate,"Noodles, Thai, Beverages, Chicken, Rice Dishes"
4,4,Jin man lou hai xian fan dian restaurant zhing mun,https://foodpanda.my/restaurant/v0gh/jin-man-lou-hai-xian-fan-dian-restaurant-zhing-mun,"['Noodles', 'Chicken', 'Rice Dishes', 'Meat', 'Chinese']",4.4,91,101.6379497,3.2230954,3,Chinese,4.43,4.30-4.49,Expensive,"Noodles, Chicken, Rice Dishes, Meat, Chinese"
5,5,A sheng fan dian ahsan seafood restaurant,https://foodpanda.my/restaurant/nid2/a-sheng-fan-dian-ahsan-seafood-restaurant,"['Noodles', 'Rice Dishes', 'Chinese']",4.8,8,101.6359499,3.2277106,3,Chinese,4.48,4.30-4.49,Expensive,"Noodles, Rice Dishes, Chinese"
6,6,Restoran smeliana,https://foodpanda.my/restaurant/gcvg/restoran-smeliana,"['Noodles', 'Beverages', 'Chicken', 'Rice Dishes', 'Meat', 'Asian']",4.5,164,101.6379497,3.2230954,1,Mamak,4.48,4.30-4.49,Cheap,"Noodles, Beverages, Chicken, Rice Dishes, Meat, Asian"
7,7,Kowloon bubble waffle upgrade restaurant,https://foodpanda.my/restaurant/wu91/kowloon-bubble-waffle-upgrade-restaurant,"['Desserts', 'Fish', 'Fast Food']",4.6,33,101.65202284,3.2389727,2,Desserts,4.49,4.30-4.49,Moderate,"Desserts, Fish, Fast Food"
8,8,The queh,https://foodpanda.my/restaurant/rhbx/the-queh,"['Chicken', 'Malaysian food']",0.0,0,101.6378464,3.2177352,1,Malay,0.0,No rating,Cheap,"Chicken, Malaysian food"
9,9,Uandi cafe kepong,https://foodpanda.my/restaurant/e3b9/uandi-cafe-kepong,"['Noodles', 'Beverages', 'Rice Dishes', 'Malaysian food']",4.4,208,101.6299115,3.2163305,2,Malay,4.42,4.30-4.49,Moderate,"Noodles, Beverages, Rice Dishes, Malaysian food"
10,10,Starbucks damansara avenue dt,https://foodpanda.my/restaurant/gpil/starbucks-damansara-avenue-dt,"['Cakes', 'Halal']",4.6,611,101.6169328,3.1916751,3,Beverages,4.58,4.50-4.69,Expensive,"Cakes, Halal"
